"";"parsed";"ebird"
"535";"Selenidera gouldii";"Selenidera gouldii"
"536";"Ramphastos brevis";"Ramphastos brevis"
"537";"Ramphastos cuvieri";NA
"538";"Galbalcyrhynchus leucotis";"Galbalcyrhynchus leucotis"
"539";"Brachygalba goeringi";"Brachygalba goeringi"
"540";"Brachygalba lugubris";"Brachygalba lugubris"
"541";"Galbula cyanicollis";"Galbula cyanicollis"
"542";"Galbula galbula";"Galbula galbula"
"543";"Galbula tombacea";"Galbula tombacea"
"544";"Galbula cyanescens";"Galbula cyanescens"
"545";"Galbula chalcothorax";"Galbula chalcothorax"
"546";"Galbula leucogastra";"Galbula leucogastra"
"547";"Galbula dea";"Galbula dea"
"548";"Notharchus ordii";"Notharchus ordii"
"549";"Cyphos macrodactylus";NA
"550";"Nystactes tamatia";NA
"551";"Bucco capensis";"Bucco capensis"
"552";"Nystalus chacuru";"Nystalus chacuru"
"553";"Nystalus maculatus";"Nystalus maculatus"
"554";"Malacoptila fusca";"Malacoptila fusca"
"555";"Malacoptila semicincta";"Malacoptila semicincta"
"556";"Malacoptila mystacalis";"Malacoptila mystacalis"
"557";"Nonnula rubecula";"Nonnula rubecula"
"558";"Nonnula brunnea";"Nonnula brunnea"
"559";"Nonnula amaurocephala";"Nonnula amaurocephala"
"560";"Hapaloptila castanea";"Hapaloptila castanea"
"561";"Monasa nigrifrons";"Monasa nigrifrons"
"562";"Monasa flavirostris";"Monasa flavirostris"
"563";"Chelidoptera tenebrosa";"Chelidoptera tenebrosa"
"564";"Tockus monteiri";"Tockus monteiri"
"565";"Tockus flavirostris";"Tockus flavirostris"
"566";"Tockus leucomelas";"Tockus leucomelas"
"567";"Tockus jacksoni";"Tockus jacksoni"
"568";"Tockus deckeni";"Tockus deckeni"
"569";"Lophoceros alboterminatus";"Lophoceros alboterminatus"
"570";"Lophoceros bradfieldi";"Lophoceros bradfieldi"
"571";"Lophoceros nasutus";"Lophoceros nasutus"
"572";"Lophoceros pallidirostris";"Lophoceros pallidirostris"
"573";"Anthracoceros coronatus";"Anthracoceros coronatus"
"574";"Bycanistes albotibialis";"Bycanistes albotibialis"
"575";"Ceratogymna atrata";"Ceratogymna atrata"
"576";"Ceratogymna elata";"Ceratogymna elata"
"577";"Bucorvus leadbeateri";"Bucorvus leadbeateri"
"578";"Phoeniculus purpureus";"Phoeniculus purpureus"
"579";"Phoeniculus damarensis";"Phoeniculus damarensis"
"580";"Phoeniculus somaliensis";"Phoeniculus somaliensis"
"581";"Phoeniculus bollei";"Phoeniculus bollei"
"582";"Rhinopomastus castaneiceps";NA
"583";"Rhinopomastus aterrimus";"Rhinopomastus aterrimus"
"584";"Rhinopomastus cyanomelas";"Rhinopomastus cyanomelas"
"585";"Rhinopomastus minor";"Rhinopomastus minor"
"586";"Apaloderma narina";"Apaloderma narina"
"587";"Apaloderma aequatoriale";"Apaloderma aequatoriale"
"588";"Apaloderma vittatum";"Apaloderma vittatum"
"589";"Pharomachrus mocinno";"Pharomachrus mocinno"
"590";"Pharomachrus antisianus";"Pharomachrus antisianus"
"591";"Pharomachrus auriceps";"Pharomachrus auriceps"
"592";"Pharomachrus pavoninus";"Pharomachrus pavoninus"
"593";"Trogon massena";"Trogon massena"
"594";"Trogon clathratus";"Trogon clathratus"
"595";"Trogon bairdii";"Trogon bairdii"
"596";"Trogon citreolus";"Trogon citreolus"
"597";"Trogon personatus";"Trogon personatus"
"598";"Trogon rufus";"Trogon rufus"
"599";"Harpactes fasciatus";"Harpactes fasciatus"
"600";"Harpactes kasumba";"Harpactes kasumba"
"601";"Harpactes diardii";"Harpactes diardii"
"602";"Harpactes ardens";"Harpactes ardens"
"603";"Harpactes whiteheadi";"Harpactes whiteheadi"
"604";"Harpactes orrhophaeus";"Harpactes orrhophaeus"
"605";"Harpactes duvaucelii";"Harpactes duvaucelii"
"606";"Harpactes erythrocephalus";"Harpactes erythrocephalus"
"607";"Harpactes wardi";"Harpactes wardi"
"608";"Coracias abyssinicus";"Coracias abyssinicus"
"609";"Coracias caudatus";"Coracias caudatus"
"610";"Coracias spatulatus";"Coracias spatulatus"
"611";"Coracias naevius";"Coracias naevius"
"612";"Coracias cyanogaster";"Coracias cyanogaster"
"613";"Eurystomus glaucurus";"Eurystomus glaucurus"
"614";"Eurystomus gularis";"Eurystomus gularis"
"615";"Eurystomus orientalis";"Eurystomus orientalis"
"616";"Brachypteracias leptosomus";"Brachypteracias leptosomus"
"617";"Atelornis pittoides";"Atelornis pittoides"
"618";"Atelornis crossleyi";"Atelornis crossleyi"
"619";"Leptosomus discolor";"Leptosomus discolor"
"620";"Baryphthengus ruficapillus";"Baryphthengus ruficapillus"
"621";"Todus multicolor";"Todus multicolor"
"622";"Todus angustirostris";"Todus angustirostris"
"623";"Todus mexicanus";"Todus mexicanus"
"624";"Todus todus";"Todus todus"
"625";"Todus subulatus";"Todus subulatus"
"626";"Alcedo hercules";"Alcedo hercules"
"627";"Alcedo semitorquata";"Alcedo semitorquata"
"628";"Alcedo quadribrachys";"Alcedo quadribrachys"
"629";"Alcedo meninting";"Alcedo meninting"
"630";"Ceyx azureus";"Ceyx azureus"
"631";"Corythornis vintsioides";"Corythornis vintsioides"
"632";"Corythornis leucogaster";"Corythornis leucogaster"
"633";"Alcedo coerulescens";"Alcedo coerulescens"
"634";"Ceyx pusillus";"Ceyx pusillus"
"635";"Corythornis madagascariensis";"Corythornis madagascariensis"
"636";"Ispidina picta";"Ispidina picta"
"637";"Ispidina lecontei";"Ispidina lecontei"
"638";"Dacelo novaeguineae";"Dacelo novaeguineae"
"639";"Dacelo leachii";"Dacelo leachii"
"640";"Dacelo tyro";"Dacelo tyro"
"641";"Dacelo gaudichaud";"Dacelo gaudichaud"
"642";"Clytoceyx rex";"Clytoceyx rex"
"643";"Pelargopsis amauroptera";"Pelargopsis amauroptera"
"644";"Pelargopsis capensis";"Pelargopsis capensis"
"645";"Pelargopsis melanorhyncha";"Pelargopsis melanorhyncha"
"646";"Halcyon coromanda";"Halcyon coromanda"
"647";"Halcyon badia";"Halcyon badia"
"648";"Halcyon cyanoventris";"Halcyon cyanoventris"
"649";"Halcyon leucocephala";"Halcyon leucocephala"
"650";"Halcyon senegalensis";"Halcyon senegalensis"
"651";"Halcyon senegaloides";"Halcyon senegaloides"
"652";"Halcyon malimbica";"Halcyon malimbica"
"653";"Halcyon albiventris";"Halcyon albiventris"
"654";"Halcyon chelicuti";"Halcyon chelicuti"
"655";"Todiramphus winchelli";"Todiramphus winchelli"
"656";"Todiramphus diops";"Todiramphus diops"
"657";"Todiramphus lazuli";"Todiramphus lazuli"
"658";"Todiramphus macleayii";"Todiramphus macleayii"
"659";"Todiramphus leucopygius";"Todiramphus leucopygius"
"660";"Todiramphus farquhari";"Todiramphus farquhari"
"661";"Todiramphus pyrrhopygius";"Todiramphus pyrrhopygius"
"662";"Todiramphus recurvirostris";"Todiramphus recurvirostris"
"663";"Todiramphus funebris";"Todiramphus funebris"
"664";"Todiramphus enigma";"Todiramphus enigma"
"665";"Todiramphus saurophagus";"Todiramphus saurophagus"
"666";"Todiramphus sanctus";"Todiramphus sanctus"
"667";"Caridonax fulgidus";"Caridonax fulgidus"
"668";"Melidora macrorrhina";"Melidora macrorrhina"
"669";"Actenoides concretus";"Actenoides concretus"
"670";"Actenoides lindsayi";"Actenoides lindsayi"
"671";"Actenoides hombroni";"Actenoides hombroni"
"672";"Syma torotoro";"Syma torotoro"
"673";"Syma megarhyncha";"Syma megarhyncha"
"674";"Tanysiptera galatea";"Tanysiptera galatea"
"675";"Tanysiptera riedelii";"Tanysiptera riedelii"
"676";"Tanysiptera carolinae";"Tanysiptera carolinae"
"677";"Tanysiptera nympha";"Tanysiptera nympha"
"678";"Tanysiptera danae";"Tanysiptera danae"
"679";"Megaceryle maxima";"Megaceryle maxima"
"680";"Megaceryle lugubris";"Megaceryle lugubris"
"681";"Megaceryle alcyon";"Megaceryle alcyon"
"682";"Nyctyornis amictus";"Nyctyornis amictus"
"683";"Nyctyornis athertoni";"Nyctyornis athertoni"
"684";"Merops gularis";"Merops gularis"
"685";"Merops bulocki";"Merops bulocki"
"686";"Merops bullockoides";"Merops bullockoides"
"687";"Merops pusillus";"Merops pusillus"
"688";"Merops oreobates";"Merops oreobates"
"689";"Merops hirundineus";"Merops hirundineus"
"690";"Merops breweri";"Merops breweri"
"691";"Merops revoilii";"Merops revoilii"
"692";"Merops albicollis";"Merops albicollis"
"693";"Merops boehmi";"Merops boehmi"
"694";"Merops superciliosus";"Merops superciliosus"
"695";"Merops philippinus";"Merops philippinus"
"696";"Merops ornatus";"Merops ornatus"
"697";"Merops leschenaulti";"Merops leschenaulti"
"698";"Merops malimbicus";"Merops malimbicus"
"699";"Merops nubicus";"Merops nubicus"
"700";"Merops nubicoides";"Merops nubicoides"
"701";"Colius striatus";"Colius striatus"
"702";"Colius leucocephalus";"Colius leucocephalus"
"703";"Colius castanotus";"Colius castanotus"
"704";"Colius colius";"Colius colius"
"705";"Urocolius macrourus";"Urocolius macrourus"
"706";"Clamator jacobinus";"Clamator jacobinus"
"707";"Clamator levaillantii";"Clamator levaillantii"
"708";"Clamator coromandus";"Clamator coromandus"
"709";"Pachycoccyx audeberti";"Pachycoccyx audeberti"
"710";"Hierococcyx varius";"Hierococcyx varius"
"711";"Hierococcyx vagans";"Hierococcyx vagans"
"712";"Cuculus solitarius";"Cuculus solitarius"
"713";"Cuculus gularis";"Cuculus gularis"
"714";"Cuculus poliocephalus";"Cuculus poliocephalus"
"715";"Cuculus rochii";"Cuculus rochii"
"716";"Heteroscenes pallidus";NA
"717";"Cercococcyx olivinus";"Cercococcyx olivinus"
"718";"Cacomantis sonneratii";"Cacomantis sonneratii"
"719";"Cacomantis passerinus";"Cacomantis passerinus"
"720";"Cacomantis merulinus";"Cacomantis merulinus"
"721";"Cacomantis castaneiventris";"Cacomantis castaneiventris"
"722";"Cacomantis flabelliformis";"Cacomantis flabelliformis"
"723";"Chalcites megarhynchus";NA
"724";"Chalcites crassirostris";NA
"725";"Chalcites basalis";NA
"726";"Chalcites ruficollis";NA
"727";"Chalcites meyerii";NA
"728";"Chalcites osculans";NA
"729";"Chrysococcyx klaas";"Chrysococcyx klaas"
"730";"Chrysococcyx caprius";"Chrysococcyx caprius"
"731";"Caliechthrus leucolophus";NA
"732";"Microdynamis parva";"Microdynamis parva"
"733";"Eudynamys scolopaceus";"Eudynamys scolopaceus"
"734";"Urodynamis taitensis";"Urodynamis taitensis"
"735";"Scythrops novaehollandiae";"Scythrops novaehollandiae"
"736";"Phaenicophaeus diardi";"Phaenicophaeus diardi"
"737";"Phaenicophaeus sumatranus";"Phaenicophaeus sumatranus"
"738";"Phaenicophaeus tristis";"Phaenicophaeus tristis"
"739";"Phaenicophaeus viridirostris";"Phaenicophaeus viridirostris"
"740";"Taccocua leschenaultii";"Taccocua leschenaultii"
"741";"Rhinortha chlorophaea";"Rhinortha chlorophaea"
"742";"Phaenicophaeus pyrrhocephalus";"Phaenicophaeus pyrrhocephalus"
"743";"Dasylophus superciliosus";"Dasylophus superciliosus"
"744";"Lepidogrammus cumingi";NA
"745";"Coua delalandei";"Coua delalandei"
"746";"Coua gigas";"Coua gigas"
"747";"Centropus milo";"Centropus milo"
"748";"Centropus goliath";"Centropus goliath"
"749";"Centropus menbeki";"Centropus menbeki"
"750";"Centropus phasianinus";"Centropus phasianinus"
"751";"Centropus spilopterus";NA
"752";"Centropus bernsteini";"Centropus bernsteini"
"753";"Centropus chalybeus";"Centropus chalybeus"
"754";"Centropus rectunguis";"Centropus rectunguis"
"755";"Centropus sinensis";"Centropus sinensis"
"756";"Centropus nigrorufus";"Centropus nigrorufus"
"757";"Centropus viridis";"Centropus viridis"
"758";"Centropus grillii";"Centropus grillii"
"759";"Centropus bengalensis";"Centropus bengalensis"
"760";"Centropus chlororhynchos";"Centropus chlororhynchos"
"761";"Centropus anselli";"Centropus anselli"
"762";"Centropus monachus";"Centropus monachus"
"763";"Centropus cupreicaudus";"Centropus cupreicaudus"
"764";"Centropus senegalensis";"Centropus senegalensis"
"765";"Centropus superciliosus";"Centropus superciliosus"
"766";"Centropus melanops";"Centropus melanops"
"767";"Centropus celebensis";"Centropus celebensis"
"768";"Coccycua pumila";"Coccycua pumila"
"769";"Coccyzus euleri";"Coccyzus euleri"
"770";"Coccyzus melacoryphus";"Coccyzus melacoryphus"
"771";"Coccyzus pluvialis";"Coccyzus pluvialis"
"772";"Opisthocomus hoazin";"Opisthocomus hoazin"
"773";"Guira guira";"Guira guira"
"774";"Geococcyx californianus";"Geococcyx californianus"
"775";"Neomorphus radiolosus";"Neomorphus radiolosus"
"776";"Neomorphus rufipennis";"Neomorphus rufipennis"
"777";"Neomorphus pucheranii";"Neomorphus pucheranii"
"778";"Chalcopsitta atra";"Chalcopsitta atra"
"779";"Chalcopsitta scintillata";"Chalcopsitta scintillata"
"780";"Chalcopsitta cardinalis";NA
"781";"Eos histrio";"Eos histrio"
"782";"Eos squamata";"Eos squamata"
"783";"Pseudeos fuscata";"Pseudeos fuscata"
"784";"Trichoglossus ornatus";NA
"785";"Trichoglossus euteles";"Trichoglossus euteles"
"786";"Trichoglossus johnstoniae";NA
"787";"Psitteuteles versicolor";"Psitteuteles versicolor"
"788";"Trichoglossus iris";NA
"789";"Lorius domicella";"Lorius domicella"
"790";"Lorius hypoinochrous";"Lorius hypoinochrous"
"791";"Lorius albidinucha";"Lorius albidinucha"
"792";"Phigys solitarius";NA
"793";"Vini australis";"Vini australis"
"794";"Vini kuhlii";"Vini kuhlii"
"795";"Glossopsitta concinna";"Glossopsitta concinna"
"796";"Glossopsitta pusilla";NA
"797";"Glossopsitta porphyrocephala";NA
"798";"Charmosyna palmarum";NA
"799";"Charmosyna rubrigularis";NA
"800";"Charmosyna meeki";NA
"801";"Charmosyna multistriata";NA
"802";"Charmosyna wilhelminae";NA
"803";"Charmosyna rubronotata";NA
"804";"Charmosyna placentis";NA
"805";"Charmosyna margarethae";NA
"806";"Charmosyna pulchella";NA
"807";"Charmosyna josefinae";"Charmosyna josefinae"
"808";"Oreopsittacus arfaki";"Oreopsittacus arfaki"
"809";"Neopsittacus musschenbroekii";"Neopsittacus musschenbroekii"
"810";"Neopsittacus pullicauda";"Neopsittacus pullicauda"
"811";"Probosciger aterrimus";"Probosciger aterrimus"
"812";"Zanda funerea";NA
"813";"Calyptorhynchus banksii";"Calyptorhynchus banksii"
"814";"Cacatua moluccensis";"Cacatua moluccensis"
"815";"Cacatua pastinator";"Cacatua pastinator"
"816";"Cacatua tenuirostris";"Cacatua tenuirostris"
"817";"Nestor productus";"Nestor productus"
"818";"Nestor meridionalis";"Nestor meridionalis"
"819";"Micropsitta keiensis";"Micropsitta keiensis"
"820";"Micropsitta pusio";"Micropsitta pusio"
"821";"Micropsitta meeki";"Micropsitta meeki"
"822";"Micropsitta finschii";"Micropsitta finschii"
"823";"Micropsitta bruijnii";"Micropsitta bruijnii"
"824";"Psittaculirostris edwardsii";"Psittaculirostris edwardsii"
"825";"Psittaculirostris salvadorii";"Psittaculirostris salvadorii"
"826";"Bolbopsittacus lunulatus";"Bolbopsittacus lunulatus"
"827";"Psittacella brehmii";"Psittacella brehmii"
"828";"Psittacella modesta";"Psittacella modesta"
"829";"Psittacella madaraszi";"Psittacella madaraszi"
"830";"Geoffroyus simplex";"Geoffroyus simplex"
"831";"Prioniturus waterstradti";"Prioniturus waterstradti"
"832";"Prioniturus platenae";"Prioniturus platenae"
"833";"Prioniturus flavicans";"Prioniturus flavicans"
"834";"Prioniturus mada";"Prioniturus mada"
"835";"Tanygnathus megalorynchos";"Tanygnathus megalorynchos"
"836";"Prosopeia splendens";"Prosopeia splendens"
"837";"Prosopeia personata";"Prosopeia personata"
"838";"Alisterus scapularis";"Alisterus scapularis"
"839";"Alisterus amboinensis";"Alisterus amboinensis"
"840";"Alisterus chloropterus";"Alisterus chloropterus"
"841";"Aprosmictus jonquillaceus";"Aprosmictus jonquillaceus"
"842";"Aprosmictus erythropterus";"Aprosmictus erythropterus"
"843";"Polytelis anthopeplus";"Polytelis anthopeplus"
"844";"Purpureicephalus spurius";"Purpureicephalus spurius"
"845";"Barnardius zonarius";"Barnardius zonarius"
"846";"Platycercus caledonicus";"Platycercus caledonicus"
"847";"Platycercus venustus";"Platycercus venustus"
"848";"Platycercus adscitus";"Platycercus adscitus"
"849";"Platycercus eximius";"Platycercus eximius"
"850";"Platycercus icterotis";"Platycercus icterotis"
"851";"Northiella haematogaster";"Northiella haematogaster"
"852";"Psephotus haematonotus";"Psephotus haematonotus"
"853";"Psephotellus varius";NA
"854";"Psephotellus dissimilis";NA
"855";"Psephotellus pulcherrimus";NA
"856";"Cyanoramphus unicolor";"Cyanoramphus unicolor"
"857";"Cyanoramphus auriceps";"Cyanoramphus auriceps"
"858";"Cyanoramphus zealandicus";"Cyanoramphus zealandicus"
"859";"Eunymphicus cornutus";"Eunymphicus cornutus"
"860";"Neopsephotus bourkii";NA
"861";"Neophema elegans";"Neophema elegans"
"862";"Neophema petrophila";"Neophema petrophila"
"863";"Neophema pulchella";"Neophema pulchella"
"864";"Neophema splendida";"Neophema splendida"
"865";"Pezoporus wallicus";"Pezoporus wallicus"
"866";"Mascarinus mascarin";"Mascarinus mascarin"
"867";"Poicephalus gulielmi";"Poicephalus gulielmi"
"868";"Poicephalus crassus";"Poicephalus crassus"
"869";"Poicephalus meyeri";"Poicephalus meyeri"
"870";"Poicephalus flavifrons";"Poicephalus flavifrons"
"871";"Poicephalus rufiventris";"Poicephalus rufiventris"
"872";"Poicephalus rueppellii";"Poicephalus rueppellii"
"873";"Agapornis pullarius";"Agapornis pullarius"
"874";"Agapornis taranta";"Agapornis taranta"
"875";"Agapornis nigrigenis";"Agapornis nigrigenis"
"876";"Loriculus vernalis";"Loriculus vernalis"
"877";"Loriculus beryllinus";"Loriculus beryllinus"
"878";"Loriculus philippensis";"Loriculus philippensis"
"879";"Loriculus galgulus";"Loriculus galgulus"
"880";"Loriculus stigmatus";"Loriculus stigmatus"
"881";"Loriculus catamene";"Loriculus catamene"
"882";"Loriculus aurantiifrons";"Loriculus aurantiifrons"
"883";"Loriculus pusillus";"Loriculus pusillus"
"884";"Palaeornis wardi";NA
"885";"Alexandrinus exsul";NA
"886";"Himalayapsitta himalayana";NA
"887";"Himalayapsitta cyanocephala";NA
"888";"Nicopsitta columboides";NA
"889";"Nicopsitta calthrapae";NA
"890";"Psittacula derbiana";"Psittacula derbiana"
"891";"Anodorhynchus hyacinthinus";"Anodorhynchus hyacinthinus"
"892";"Ara macao";"Ara macao"
"893";"Orthopsittaca manilatus";"Orthopsittaca manilatus"
"894";"Primolius maracana";"Primolius maracana"
"895";"Primolius auricollis";"Primolius auricollis"
"896";"Psittacara leucophthalmus";"Psittacara leucophthalmus"
"897";"Aratinga jandaya";"Aratinga jandaya"
"898";"Aratinga weddellii";"Aratinga weddellii"
"899";"Eupsittula aurea";"Eupsittula aurea"
"900";"Eupsittula cactorum";"Eupsittula cactorum"
"901";"Pyrrhura cruentata";"Pyrrhura cruentata"
"902";"Pyrrhura frontalis";"Pyrrhura frontalis"
"903";"Pyrrhura egregia";"Pyrrhura egregia"
"904";"Pyrrhura hoematotis";"Pyrrhura hoematotis"
"905";"Pyrrhura rhodocephala";"Pyrrhura rhodocephala"
"906";"Enicognathus ferrugineus";"Enicognathus ferrugineus"
"907";"Psilopsiagon aymara";"Psilopsiagon aymara"
"908";"Psilopsiagon aurifrons";"Psilopsiagon aurifrons"
"909";"Bolborhynchus lineola";"Bolborhynchus lineola"
"910";"Bolborhynchus orbygnesius";"Bolborhynchus orbygnesius"
"911";"Forpus modestus";"Forpus modestus"
"912";"Brotogeris tirica";"Brotogeris tirica"
"913";"Brotogeris cyanoptera";"Brotogeris cyanoptera"
"914";"Brotogeris chrysoptera";"Brotogeris chrysoptera"
"915";"Brotogeris sanctithomae";"Brotogeris sanctithomae"
"916";"Nannopsittaca panychlora";"Nannopsittaca panychlora"
"917";"Touit batavicus";"Touit batavicus"
"918";"Touit purpuratus";"Touit purpuratus"
"919";"Touit surdus";"Touit surdus"
"920";"Pionites melanocephalus";"Pionites melanocephalus"
"921";"Pyrilia pulchra";"Pyrilia pulchra"
"922";"Hapalopsittaca melanotis";"Hapalopsittaca melanotis"
"923";"Graydidascalus brachyurus";"Graydidascalus brachyurus"
"924";"Pionus sordidus";"Pionus sordidus"
"925";"Pionus maximiliani";"Pionus maximiliani"
"926";"Pionus senilis";"Pionus senilis"
"927";"Pionus chalcopterus";"Pionus chalcopterus"
"928";"Pionus fuscus";"Pionus fuscus"
"929";"Amazona pretrei";"Amazona pretrei"
"930";"Amazona mercenarius";"Amazona mercenarius"
"931";"Deroptyus accipitrinus";"Deroptyus accipitrinus"
"932";"Streptoprocne phelpsi";"Streptoprocne phelpsi"
"933";"Cypseloides lemosi";"Cypseloides lemosi"
"934";"Cypseloides rothschildi";"Cypseloides rothschildi"
"935";"Cypseloides cherriei";"Cypseloides cherriei"
"936";"Cypseloides senex";"Cypseloides senex"
"937";"Collocalia linchi";"Collocalia linchi"
"938";"Aerodramus unicolor";"Aerodramus unicolor"
