"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"287";"Animalia";"Arthropoda";"Insecta";"Vespidae";"Vespa";"Vespa velutina";0,195596980091379;9,3886550443862;52;83
"241";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea diffusa/Centaurea maculosa";0,194979782373698;9,3590295539375;1;1
"533";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Egeria";"Egeria densa/Elodea nuttallii";0,194493587927385;9,33569222051447;5;12
"171";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Hyphantria";"Hyphantria cunea";0,194286652832155;9,32575933594343;2;5
"169";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Orgyia";"Orgyia leucostigma";0,194139841504291;9,31871239220595;1;3
"234";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia melanoxylon";0,189488052257897;9,09542650837907;12;53
"804";"Animalia";"Arthropoda";"Insecta";"Agromyzidae";"Liriomyza";"Liriomyza huidobrensis";0,189077569952643;9,07572335772686;1;1
"41";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus familiaris";0,187352307061595;8,99291073895654;6;6
"763";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rosa";"Rosa rubiginosa";0,181740873541043;8,72356192997005;2;3
"625";"Animalia";"Chordata";"Reptilia";"Dactyloidae";"Anolis";"Anolis carolinensis";0,18151755225559;8,7128425082683;19;32
"239";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Diverse/Unspecified";"Diverse/Unspecified";0,179441691306133;8,61320118269439;4;59
"574";"Animalia";"Chordata";"Mammalia";"Cervidae";"Rusa";"Rusa timorensis russa";0,172924948480619;8,30039752706972;26;26
"81";"Animalia";"Chordata";"Mammalia";"Canidae";"Nyctereutes";"Nyctereutes procyonoides";0,166961073903734;8,01413154737922;3;6
"194";"Plantae";"Tracheophyta";"Magnoliopsida";"Haloragaceae";"Myriophyllum";"Myriophyllum aquaticum";0,162643550776954;7,80689043729381;35;35
"12";"Animalia";"Chordata";"Mammalia";"Cercopithecidae";"Erythrocebus/Macaca";"Erythrocebus patas/Macaca mulatta";0,160198178693008;7,68951257726438;2;10
"42";"Animalia";"Chordata";"Mammalia";"Canidae";"Diverse/Unspecified";"Diverse/Unspecified";0,158663549837126;7,61585039218206;6;6
"96";"Animalia";"Chordata";"Aves";"Psittacidae";"Myiopsitta";"Myiopsitta monachus";0,158557446589813;7,61075743631101;55;63
"265";"Plantae";"Tracheophyta";"Magnoliopsida";"Amaranthaceae";"Alternanthera";"Alternanthera philoxeroides";0,156466703204257;7,51040175380435;6;6
"711";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Senecio";"Senecio jacobaea";0,155783715599099;7,47761834875673;2;20
"420";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia sp.";0,153307246285708;7,35874782171397;44;48
"119";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Phyllotreta";"Phyllotreta cruciferae";0,147417160901878;7,07602372329013;1;6
"46";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis/Vulpes";"Canis lupus spp./Vulpes vulpes";0,1467109780361;7,0421269457328;3;8
"78";"Animalia";"Chordata";"Mammalia";"Camelidae";"Camelus";"Camelus sp.";0,145677432491542;6,99251675959404;1;3
"305";"Animalia";"Arthropoda";"Insecta";"Dryophthoridae";"Cosmopolites";"Cosmopolites sordidus";0,145568541948014;6,98729001350466;1;1
"196";"Animalia";"Mollusca";"Bivalvia";"Dreissenidae";"Mytilopsis";"Mytilopsis trautwineana";0,142311157170338;6,83093554417624;1;1
"224";"Plantae";"Tracheophyta";"Magnoliopsida";"Salicaceae";"Populus";"Populus spp.";0,131437376907001;6,30899409153606;2;15
"831";"Fungi";"Ascomycota";"Sordariomycetes";"Ophiostomataceae";"Ophiostoma";"Ophiostoma ulmi";0,127031844342242;6,09752852842763;1;1
"551";"Animalia";"Chordata";"Mammalia";"Cervidae/Suidae";"Rusa/Sus";"Rusa timorensis russa/Sus scrofa";0,124214187206885;5,96228098593048;21;21
"275";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Xanthium";"Xanthium strumarium";0,118267794281589;5,67685412551628;2;16
"717";"Plantae";"Tracheophyta";"Magnoliopsida/Pinopsida";"Pinaceae/Proteaceae";"Pinus/Hakea";"Diverse/Unspecified";0,113538109897614;5,44982927508546;4;44
"329";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Phragmites";"Phragmites australis";0,109887075317446;5,27457961523742;35;44
"161";"Animalia";"Arthropoda";"Insecta";"Cicadellidae";"Homalodisca";"Homalodisca vitripennis";0,109605123678599;5,26104593657274;1;1
"340";"Animalia";"Chordata";"Actinopterygii";"Centrarchidae";"Micropterus";"Micropterus salmoides";0,109336526774765;5,24815328518872;21;30
"16";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus";"Diverse/Unspecified";0,105509723743222;5,06446673967465;5;5
"25";"Animalia";"Chordata";"Mammalia";"Mustelidae/Muridae/Phalangeridae";"Mustela/Rattus/Trichosurus";"Mustela erminea//Trichosurus vulpecula";0,103680579005125;4,976667792246;1;1
"496";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Anastrepha";"Anastrepha fraterculus";0,103013969000432;4,94467051202075;2;6
"59";"Animalia";"Chordata";"Mammalia";"Erinaceidae/Felidae/Leporidae/Muridae/Mustelidae";"Erinaceus/Felis/Mus/Mustela/Oryctolagus/Rattus";"Erinaceus europaeus/Felis catus/Mus musculus/Mustela erminea/Oryctolagus cuniculus/Rattus norvegicus/Rattus exulans/Rattus rattus";0,101419033725627;4,86811361883008;1;3
"140";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Diaprepes";"Diaprepes sp.";0,0978653766837858;4,69753808082172;1;11
"315";"Plantae";"Tracheophyta";"Magnoliopsida";"Aizoaceae";"Carpobrotus";"Carpobrotus spp.";0,0965600182559896;4,6348808762875;2;12
"777";"Plantae";"Tracheophyta";"Magnoliopsida";"Aizoaceae";"Carpobrotus";"Diverse/Unspecified";0,0958385267550625;4,600249284243;1;11
"126";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Anoplophora";"Anoplophora chinensis";0,0936966321096263;4,49743834126206;4;12
"344";"Animalia";"Mollusca";"Gastropoda";"Ampullariidae";"Pomacea";"Pomacea maculata";0,0890690802856059;4,27531585370908;13;13
"780";"Animalia";"Chordata";"Amphibia";"Eleutherodactylidae";"Eleutherodactylus";"Eleutherodactylus planirostris";0,0889685242579871;4,27048916438338;1;1
"280";"Plantae";"Tracheophyta";"Magnoliopsida";"Haloragaceae";"Myriophyllum";"Myriophyllum sp.";0,0885539604567765;4,25059010192527;1;1
"707";"Plantae";"Tracheophyta";"Magnoliopsida";"Melastomataceae";"Miconia";"Miconia calvescens";0,0875592120151591;4,20284217672764;7;18
"615";"Plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Hydrocotyle ranunculoides/Myriophyllum aquaticum/Ludwigia grandiflora";0,0859716439016638;4,12663890727986;1;3
"530";"Animalia";"Chordata";"Aves";"Anatidae";"Branta";"Branta canadensis";0,0827763637570373;3,97326546033779;11;11
"787";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Diabrotica";"Diabrotica virgifera";0,0813331855312132;3,90399290549824;1;8
"110";"Animalia/Plantae";"Chordata/Diverse";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,0808975522552258;3,88308250825084;1;1
"264";"Plantae";"Tracheophyta";"Magnoliopsida";"Tamaricaceae";"Tamarix";"Tamarix aphylla";0,0805622590912821;3,86698843638154;10;14
"542";"Animalia";"Chordata";"Mammalia";"Diverse/Unspecified";"Myocastor/Ondatra";"Myocastor coypus/Ondatra zibethicus";0,0800594310862483;3,84285269213992;20;24
"261";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia nilotica";0,0797715399884299;3,82903391944464;10;16
"36";"Animalia";"Chordata";"Mammalia";"Bovidae";"Diverse/Unspecified";"Diverse/Unspecified";0,0796442743062001;3,8229251666976;4;11
"776";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Eucalyptus globulus/Eucalyptus camaldulensis";0,079001797618888;3,79208628570663;1;8
"495";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus niveus";0,0786590877917394;3,77563621400349;7;25
"312";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Baccharis";"Baccharis halimifolia";0,0769823548678914;3,69515303365879;27;55
"201";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Aeromonadaceae";"Aeromonas";"Aeromonas salmonicida";0,0728115721980813;3,4949554655079;1;9
"240";"Plantae";"Tracheophyta";"Magnoliopsida";"Salicaceae";"Salix";"Salix babylonica";0,071521239557548;3,4330194987623;8;49
"618";"Animalia";"Arthropoda";"Insecta";"Erirhinidae";"Lissorhoptrus";"Lissorhoptrus oryzophilus";0,0714759663891242;3,43084638667796;1;1
"65";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae";"Felis/Vulpes";"Felis catus/Vulpes vulpes";0,0714398419704025;3,42911241457932;1;8
"247";"Animalia";"Chordata";"Actinopterygii";"Moronidae";"Morone";"Morone chrysops";0,0707007739640422;3,39363715027402;1;1
"99";"Animalia";"Chordata";"Aves";"Accipitridae";"Aquila";"Aquila chrysaetos";0,0688137171475743;3,30305842308357;3;7
"32";"Animalia";"Chordata";"Mammalia";"Muridae";"Mus/Rattus";"Rattus sp./Mus sp.";0,0617194077007596;2,96253156963646;2;2
"259";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Parkinsonia";"Parkinsonia aculeata";0,0598461082592664;2,87261319644479;14;16
"102";"Animalia";"Chordata";"Aves";"Corvidae";"Corvus";"Corvus splendens";0,0596007276719749;2,8608349282548;2;2
"64";"Animalia";"Chordata";"Mammalia";"Muridae/Mustelidae/Procyonidae";"Rattus/Neovison/Procyon";"Rattus rattus/Neovison vison/Procyon lotor";0,0586136635157527;2,81345584875613;1;1
"682";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Cytisus";"Cytisus scoparius";0,0575489751835632;2,76235080881103;9;9
"666";"Animalia";"Arthropoda";"Insecta";"Drosophilidae";"Drosophila";"Drosophila suzukii";0,0574329986725764;2,75678393628367;3;4
"20";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus exulans/Rattus norvegicus";0,0539755373604588;2,59082579330202;6;6
"490";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Piosella";"Pilosella officinarum";0,0535519390853278;2,57049307609573;1;2
"705";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculaceae";"Clematis";"Clematis vitalba";0,0532912314614693;2,55797911015053;4;11
"390";"Plantae";"Tracheophyta";"Magnoliopsida";"Euphorbiaceae";"Ricinus";"Ricinus communis";0,0532429391544659;2,55566107941436;23;42
"767";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Optunia/Cylindroptunia";"Diverse/Unspecified";0,0488012600566484;2,34246048271912;1;3
"773";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cenchrus";"Cenchrus echinatus";0,0484192365598501;2,3241233548728;1;24
"523";"Animalia";"Mollusca";"Bivalvia";"Mytilidae";"Limnoperna";"Limnoperna fortunei";0,0473976872849341;2,27508898967684;9;26
"803";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Pinus";"Pinus pinaster/Pinus radiata";0,0472341706274459;2,2672401901174;1;14
"676";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Panicum";"Panicum repens";0,0469706774385886;2,25459251705225;4;24
"43";"Animalia";"Chordata";"Mammalia";"Suidae";"Sus";"Diverse/Unspecified";0,0436896746636149;2,09710438385352;6;6
"282";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Pueraria";"Pueraria sp.";0,043260468632342;2,07650249435242;1;1
"97";"Animalia";"Chordata";"Aves";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,0426224401868092;2,04587712896684;4;4
"213";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Pueraria";"Pueraria montana var. lobata";0,0425850561732686;2,04408269631689;1;1
"246";"Animalia";"Mollusca/Arthropoda";"Bivalvia/Branchiopoda";"Dreissenidae/Cercopagidae";"Dreissena/Bythotrephes";"Dreissena polymorpha/Bythotrephes cederstroemi";0,0424204643784253;2,03618229016441;1;1
"775";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia longifolia";0,0415391447824362;1,99387894955694;5;28
"266";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Nassella";"Nassella neesiana";0,041317086063295;1,98322013103816;7;7
"766";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Osteospermum";"Osteospermum moniliferum";0,0411090324185838;1,97323355609202;13;37
"518";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Hieracium";"Hieracium sp.";0,0402222174170019;1,93066643601609;2;13
"357";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Eucalyptus globulus";0,0395781136178593;1,89974945365725;5;13
"562";"Plantae";"Tracheophyta";"Magnoliopsida";"Balsaminaceae";"Impatiens";"Impatiens glandulifera";0,0393827100243509;1,89037008116884;4;6
"203";"Animalia";"Arthropoda";"Malacostraca";"Cambaridae";"Orconectes";"Orconectes rusticus";0,0393594220643537;1,88925225908898;1;1
"802";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Xanthium";"Diverse/Unspecified";0,0390548650974744;1,87463352467877;1;20
"644";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Solidago";"Solidago canadensis";0,0388495547610036;1,86477862852817;1;1
"326";"Animalia";"Chordata";"Actinopterygii";"Cyprinidae";"Cyprinus";"Cyprinus carpio";0,0387319161150891;1,85913197352428;16;16
"768";"Animalia";"Mollusca";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,0376603183417306;1,80769528040307;1;1
"242";"Animalia";"Chordata";"Actinopterygii";"Salmonidae";"Salmo";"Salmo trutta";0,0371185426380878;1,78169004662822;2;10
"624";"Animalia";"Chordata";"Mammalia";"Cercopithecidae";"Macaca";"Macaca mulatta";0,0370887330277256;1,78025918533083;6;18
"182";"Animalia";"Chordata";"Actinopterygii";"Cyprinidae";"Pseudorasbora";"Pseudorasbora parva";0,0363792644190114;1,74620469211255;6;6
"85";"Animalia";"Mollusca";"Gastropoda";"Achatinidae";"Lissachatina";"Achatina fulica";0,0358133489622075;1,71904075018596;1;11
"262";"Plantae";"Tracheophyta";"Magnoliopsida";"Apocynaceae";"Cryptostegia";"Cryptostegia grandiflora";0,035383582204758;1,69841194582838;11;17
"165";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera/Bactrocera/Ceratitis";"Bactrocera cucurbitae/Bactrocera dorsalis/Ceratitis capitata";0,0353503869820211;1,69681857513701;1;1
"249";"Plantae";"Tracheophyta";"Magnoliopsida";"Melastomataceae";"Clidemia";"Clidemia hirta";0,0353503869820211;1,69681857513701;1;11
"291";"Animalia";"Chordata";"Reptilia";"Emydidae";"Trachemys";"Trachemys scripta";0,034961461767709;1,67815016485003;50;57
"549";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Reynoutria";"Reynoutria sp.";0,0347469909616144;1,66785556615749;29;34
"520";"Animalia";"Arthropoda";"Insecta";"Siricidae";"Sirex";"Sirex noctilio";0,0345400603643553;1,65792289748905;1;6
"310";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Cylindropuntia";"Cylindropuntia rosea";0,03377514214818;1,62120682311264;120;122
"199";"Plantae";"Tracheophyta";"Magnoliopsida";"Cabombaceae";"Cabomba";"Cabomba caroliniana";0,0336893882985376;1,61709063832981;6;6
"826";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginaceae";"Echium";"Echium plantagineum";0,0335359535101291;1,6097257684862;1;1
"497";"Animalia";"Arthropoda";"Insecta";"Muscidae";"Philornis";"Philornis downsi";0,0332687291666667;1,596899;1;5
"24";"Animalia";"Chordata";"Mammalia";"Mustelidae";"Mustela";"Mustela erminea";0,0331751996790791;1,5924095845958;3;3
"801";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Senna";"Diverse/Unspecified";0,0297974155928879;1,43027594845862;1;20
"159";"Animalia";"Arthropoda";"Insecta";"Gelechiidae";"Pectinophora";"Pectinophora gossypiella";0,029515915216386;1,41676393038653;1;31
"136";"Animalia";"Arthropoda";"Insecta";"Adelgidae";"Adelges";"Adelges tsugae";0,0287705766315399;1,38098767831392;4;4
"185";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus alterniflorus";0,0278956761391137;1,33899245467746;8;16
"830";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rosa";"Rosa rugosa";0,027466344722647;1,31838454668705;1;1
"765";"Animalia";"Chordata";"Mammalia";"Cervidae";"Diverse/Unspecified";"Diverse/Unspecified";0,026738257172815;1,28343634429512;1;1
"798";"Plantae";"Tracheophyta";"Magnoliopsida";"Papaveraceae";"Argemone";"Argemone mexicana";0,0264705196771771;1,2705849445045;1;20
"14";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae/Leporidae";"Felis/Oryctolagus/Vulpes";"Felis catus/Oryctolagus cuniculus/Vulpes vulpes";0,0262665271700907;1,26079330416435;6;6
"162";"Animalia";"Arthropoda";"Insecta";"Rutelidae";"Popillia";"Popillia japonica";0,0252258336843488;1,21084001684874;2;2
"772";"Animalia";"Chordata";"Actinopterygii";"Cyprinidae";"Phoxinus";"Phoxinus phoxinus";0,0252103426603524;1,21009644769692;2;3
"539";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia peploides/Ludwigia grandiflora";0,0250528550133543;1,202537040641;6;6
"76";"Animalia";"Chordata";"Mammalia";"Mustelidae/Phalangeridae/Unspecified";"Trichosurus/Unspecified";"Trichosurus vulpecula/Unspecified";0,0250318897067794;1,20153070592541;1;2
"289";"Animalia";"Chordata";"Reptilia";"Colubridae";"Lampropeltis";"Lampropeltis californiae";0,0245233046969829;1,17711862545518;1;5
"66";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae/Mustelidae";"Canis/Felis/Mustela/Mustela";"Canis lupus/Felis catus/Mustela erminea/Mustela furo";0,0242843490160088;1,16564875276842;1;1
"769";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Leptospermum";"Diverse/Unspecified";0,0237377771952689;1,13941330537291;2;24
"345";"Animalia";"Arthropoda";"Malacostraca";"Cambaridae";"Procambarus";"Procambarus clarkii";0,0226563454101022;1,0875045796849;32;46
"606";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Heracleum";"Heracleum sosnowskyi";0,0226319277006569;1,08633252963153;19;22
"172";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Anoplolepis";"Anoplolepis gracilipes";0,0209833283672503;1,00719976162801;4;4
"623";"Plantae";"Tracheophyta";"Dicotyledonae";"Onagraceae";"Ludwigia";"Ludwigia grandiflora";0,0204254673497174;0,980422432786434;5;10
"560";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus anglicus";0,0201795224384657;0,968617077046356;3;6
"95";"Animalia";"Chordata";"Aves";"Sturnidae";"Acridotheres";"Acridotheres tristis";0,01961875;0,9417;1;6
"622";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Spartina";"Spartina spp.";0,0195576796855935;0,938768624908486;8;14
"783";"Animalia";"Arthropoda";"Malacostraca";"Lithodidae";"Paralithodes";"Paralithodes camtschaticus";0,019076403117113;0,915667349621422;1;1
"263";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniaceae";"Salvinia";"Salvinia spp.";0,0183196813342182;0,879344704042472;5;5
"565";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus spp.";0,0179824344114534;0,863156851749765;6;10
"167";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Orgyia";"Orgyia pseudotsugata";0,0178437886040766;0,856501852995679;1;1
"257";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Hymenachne";"Hymenachne spp.";0,0178242918797838;0,855566010229624;4;4
"243";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Larix";"Larix spp.";0,0176751934910105;0,848409287568506;1;1
"55";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae/Herpestidae";"Canis/Felis/Herpestes";"Canis lupus/Felis catus/Herpestes javanicus";0,0173684324783327;0,833684758959968;5;16
"795";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Datura";"Diverse/Unspecified";0,0170684225240814;0,819284281155908;1;20
"723";"Animalia";"Chordata";"Aves";"Anatidae";"Cygnus";"Cygnus olor";0,0166691450471045;0,800118962261016;2;12
"617";"Animalia";"Chordata";"Actinopterygii";"Tetraodontidae";"Lagocephalus";"Lagocephalus sceleratus";0,0162828586070754;0,781577213139619;6;11
"296";"Plantae";"Tracheophyta";"Magnoliopsida";"Aizoaceae";"Carpobrotus";"Carpobrotus edulis";0,0159184092066628;0,764083641919815;78;78
"45";"Animalia";"Chordata";"Mammalia";"Equidae";"Equus";"Equus asinus";0,0157478618788691;0,755897370185716;4;4
"760";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Diverse/Unspecified";"Diverse/Unspecified";0,0154198104530416;0,740150901745998;1;5
"554";"Animalia";"Chordata";"Mammalia";"Sciuridae";"Tamias";"Tamias sibiricus";0,0153538148339592;0,736983112030042;5;5
"793";"Plantae";"Tracheophyta";"Magnoliopsida";"Sapindaceae";"Cardiospermum";"Diverse/Unspecified";0,0147540601479348;0,708194887100869;1;20
"759";"Chromista";"Oomycota";"Peronosporea";"Peronosporaceae";"Phytophthora";"Phytophthora ramorum/Phytophthora kernoviae";0,0145978369467668;0,700696173444806;1;4
"297";"Plantae";"Tracheophyta";"Magnoliopsida";"Scrophulariaceae";"Buddleja";"Buddleja davidii";0,0145831116725062;0,699989360280299;3;3
"227";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus spp.";0,0143975876696785;0,691084208144568;1;1
"328";"Plantae";"Tracheophyta";"Magnoliopsida";"Simaroubaceae";"Ailanthus";"Ailanthus altissima";0,013905079786115;0,667443829733522;164;185
"137";"Animalia";"Arthropoda";"Insecta";"Hesperiidae";"Erionota";"Erionota thrax";0,0138577203360587;0,66517057613082;1;3
"270";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae/Apocynaceae/Rhamnaceae";"Parkinsonia/Cryptostegia/Calotropis/Ziziphus";"Parkinsonia aculeata/Cryptostegia grandiflora/Calotropis procera/Ziziphus mauritiana";0,0137915508492886;0,66199444076585;1;1
"751";"Animalia";"Arthropoda";"Insecta";"Thripidae";"Thrips";"Thrips palmi";0,0135205685654416;0,648987291141198;2;9
"540";"Plantae";"Tracheophyta";"Diverse/Unspecified";"Diverse/Unspecified";"Ludwigia/Elodea";"Ludwigia sp./Elodea sp.";0,0134487427368322;0,645539651367946;6;6
"753";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Hieracium";"Diverse/Unspecified";0,0134062175295692;0,64349844141932;3;3
"8";"Animalia";"Chordata";"Mammalia";"Equidae";"Equus";"Equus caballus";0,0132441202789728;0,635717773390695;4;4
"499";"Animalia";"Mollusca";"Gastropoda";"Achatinidae";"Achatina";"Achatina fulica";0,0130208333333333;0,625;1;5
"250";"Plantae";"Tracheophyta";"Magnoliopsida";"Passifloraceae";"Passiflora";"Passiflora tarminiana";0,0129382416354197;0,621035598500146;1;3
"778";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Sesbania";"Sesbania punicea";0,0128196495262136;0,615343177258252;1;20
"575";"Animalia";"Chordata";"Mammalia";"Diverse/Unspecified";"Diverse/Unspecified";"Rusa timorensis russa/Sus scrofa/Oryctolagus cuniculus";0,0125285550224277;0,601370641076531;4;4
"31";"Animalia";"Chordata";"Mammalia";"Bovidae";"Bos";"Ovis aries";0,0122612558742494;0,588540281963969;1;1
"584";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae/Tephritidae";"Brontispa/Bactrocera";"Brontispa longissima/Bactrocera tryoni";0,0120860856749119;0,580132112395772;2;2
"762";"Plantae";"Tracheophyta";"Magnoliopsida";"Chenopodiaceae";"Bassia";"Bassia scoparia";0,0119653323466725;0,574335952640279;1;8
"571";"Animalia";"Chordata";"Mammalia";"Bovidae";"Diverse/Unspecified";"Ovis ammon/Ovis aries/Bos taurus";0,0119549280556862;0,573836546672936;5;5
"299";"Animalia";"Chordata";"Mammalia";"Procyonidae";"Procyon";"Procyon lotor";0,0118913567281655;0,570785122951943;25;36
"441";"Plantae";"Tracheophyta";"Liliopsida";"Asparagaceae";"Agave";"Agave sisalana";0,0117758717182593;0,565241842476447;5;24
"791";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Nicotiana";"Diverse/Unspecified";0,0117164595292423;0,562390057403631;1;20
"508";"Plantae";"Tracheophyta";"Magnoliopsida";"Verbenaceae";"Citharexylum";"Citharexylum gentryi";0,0116821998518336;0,560745592888015;10;28
"627";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Linepithema";"Linepithema humile";0,0113329744176127;0,543982772045408;20;33
"116";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Rhagoletis";"Rhagoletis indifferens";0,0109605123678599;0,526104593657274;1;1
"568";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus alceifolius";0,0107044604524683;0,513814101718477;4;4
"704";"Viruses";NA;NA;"Poxviridae";NA;"Squirrelpox virus";0,0105463380381363;0,506224225830542;2;6
"790";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Solanum";"Solanum seaforthianum";0,0102699830441507;0,492959186119233;1;20
"44";"Animalia";"Chordata";"Mammalia";"Camelidae";"Diverse/Unspecified";"Diverse/Unspecified";0,0100470335633541;0,482257611040995;3;3
"271";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae/Euphorbiaceae/Apocynaceae/Rhamnaceae/Asteraceae";"Acacia/Parkinsonia/Jatropha/Calotropis/Ziziphus/Xanthium";"Acacia nilotica/Parkinsonia aculeata/Jatropha gossypiifolia/Ziziphus mauritiana";0,00972847985219524;0,466967032905372;1;1
"268";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acaciella/Aeschynomene/Indigofera";"Acaciella angustissima/Aeschynomene paniculata/Aeschynomene brasiliana/Indigofera schimperi";0,00953772534528946;0,457810816573894;1;6
"269";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus pyramidalis";0,00953772534528946;0,457810816573894;1;1
"130";"Animalia";"Arthropoda";"Insecta";"Aleyrodidae";"Bemisia";"Bemisia tabaci";0,00951674993992986;0,456803997116633;4;9
"498";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Solenopsis";"Solenopsis geminata";0,00947916666666667;0,455;1;5
"672";"Chromista";"Ochrophyta";"Phaeophyceae";"Sargassaceae";"Sargassum";"Sargassum muticum";0,00878765798751658;0,421807583400796;5;13
