"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"868";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus anglicus/Sporobolus alterniflorus";5,56511105824988;267,125330795994;3;3
"1114";"Plantae";"Tracheophyta";"Magnoliopsida";"Tamaricaceae";"Tamarix";"Diverse/Unspecified";5,54508729105662;266,164189970718;6;6
"857";"Fungi";"Chytridiomycota";"Chytridiomycetes";"Synchytriaceae";"Synchytrium";"Synchytrium endobioticum";5,44277573733702;261,253235392177;3;3
"192";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Ceutorhynchus";"Ceutorhynchus obstrictus";5,42720431779004;260,505807253922;1;1
"1036";"Chromista";"Oomycota";"Peronosporea";"Peronosporaceae";"Phytophthora";"Phytophthora ramorum";5,3437839517462;256,501629683818;3;6
"758";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriaceae";"Pantoea";"Pantoea stewartii subsp. stewartii";5,26366365548625;252,65585546334;1;2
"127";"Animalia";"Chordata";"Aves";"Passeridae";"Diverse/Unspecified";"Diverse/Unspecified";5,22977562051065;251,029229784511;1;1
"161";"Animalia";"Arthropoda";"Insecta";"Cecidomyiidae";"Sitodiplosis";"Sitodiplosis mosellana";5,17043225671005;248,180748322082;1;10
"183";"Animalia";"Arthropoda";"Insecta";"Gryllotalpidae";"Scapteriscus";"Scapteriscus spp.";5,16954645536495;248,138229857517;3;3
"297";"Chromista";"Haptophyta";"Prymnesiophyceae";"Chrysochromulinaceae";"Prymnesium";"Prymnesium polylepis";5,1277205976698;246,13058868815;1;9
"95";"Animalia";"Arthropoda";"Arachnida";"Penthaleidae";"Halotydeus";"Halotydeus destructor";5,03776982702158;241,812951697036;1;1
"1017";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea stoebe";4,9605625;238,107;8;8
"25";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis/Vulpes";"Canis lupus spp./Vulpes vulpes";4,95750238376006;237,960114420483;11;29
"160";"Animalia";"Arthropoda";"Insecta";"Coccinellidae";"Harmonia";"Harmonia axyridis";4,81305216330028;231,026503838414;1;1
"1090";"Plantae";"Tracheophyta";"Magnoliopsida";"Orobanchaceae";"Striga";"Striga asiatica";4,68636299829139;224,945423917987;1;37
"1091";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Setaria";"Setaria helvola";4,61688089189753;221,610282811081;1;1
"208";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Tetropium";"Tetropium fuscum";4,54999623856511;218,399819451125;1;1
"663";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia spp.";4,39283335110517;210,856000853048;12;28
"210";"Animalia";"Arthropoda";"Insecta";"Notodontidae";"Thaumetopoea";"Thaumetopoea pityocampa";4,36769660708759;209,649437140204;2;10
"881";"Fungi";"Ascomycota";"Sordariomycetes";"Nectriaceae";"Fusarium";"Fusarium oxysporum cubense";4,34069058506738;208,353148083234;4;37
"1084";"Fungi";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";4,27853222486947;205,369546793735;1;1
"224";"Animalia";"Arthropoda";"Insecta";"Gelechiidae";"Tecia";"Tecia solanivora";4,26418767283501;204,68100829608;3;3
"603";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Euwallacea";"Euwallacea sp.";4,19594924965299;201,405563983343;1;1
"867";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Eupatorium";"Eupatorium adenophorum";4,16036415221305;199,697479306227;5;5
"882";"Animalia";"Arthropoda";"Insecta";"Diaspididae";"Hemiberlesia";"Hemiberlesia pitysophila";4,0853174665399;196,095238393915;1;1
"1075";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Lymantria";"Lymantria disparasiatica/Lymantria dispar";4,04085416666667;193,961;3;3
"302";"Animalia";"Mollusca";"Bivalvia";"Teredinidae";"Teredo";"Teredo navalis";3,92902283408376;188,59309603602;3;3
"246";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera papayae";3,8564987751417;185,111941206802;2;2
"800";"Fungi";"Ascomycota";"Sordariomycetes";"Ophiostomataceae";"Ophiostoma";"Ophiostoma ulmi";3,80259208026856;182,524419852891;5;5
"282";"Animalia";"Arthropoda";"Malacostraca";"Astacidae";"Pacifastacus";"Pacifastacus leniusculus";3,77442264472046;181,172286946582;34;34
"961";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Senecio";"Senecio jacobaea";3,7547317031546;180,227121751421;9;45
"237";"Animalia";"Arthropoda";"Insecta";"Gryllotalpidae";"Scapteriscus";"Scapteriscus sp.";3,5874340296257;172,196833422034;1;1
"272";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus alterniflorus";3,58167949747162;171,920615878638;17;25
"855";"Animalia";"Arthropoda";"Insecta";"Brachyceridae";"Lissorhoptrus";"Lissorhoptrus oryzophilus";3,5585174202688;170,808836172903;2;2
"154";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Phyllotreta";"Phyllotreta cruciferae";3,50723283250904;168,347175960434;2;7
"913";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus cynosuroides";3,44817785532752;165,512537055721;4;13
"740";"Animalia";"Arthropoda";"Insecta";"Gelechiidae";"Symmetrischema";"Symmetrischema tangolias";3,40949364001043;163,655694720501;1;1
"177";"Animalia";"Arthropoda";"Insecta";"Ceratopogonidae";"Culicoides";"Culicoides imicola";3,40292972842422;163,340626964362;1;1
"332";"Plantae";"Tracheophyta";"Magnoliopsida";"Meliaceae";"Melia";"Melia azedarach";3,37309150370955;161,908392178058;19;80
"56";"Animalia";"Chordata";"Mammalia";"Sciuridae";"Sciurus";"Sciurus carolinensis";3,33904031715899;160,273935223631;17;47
"171";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera philippinensis";3,31052280855482;158,905094810632;2;25
"871";"Animalia";"Arthropoda";"Insecta";"Margarodidae";"Matsucoccus";"Matsucoccus matsumurae";3,27162969831969;157,038225519345;2;6
"732";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Choristoneura";"Choristoneura fumiferana";3,26714924831963;156,823163919342;15;15
"873";"Animalia";"Arthropoda";"Insecta";"Oecophoridae";"Opisina";"Opisina arenosella";3,25216208882852;156,103780263769;1;3
"264";"Plantae";"Tracheophyta";"Magnoliopsida";"Haloragaceae";"Myriophyllum";"Myriophyllum spicatum";3,22489223914285;154,794827478857;31;131
"98";"Animalia";"Chordata";"Amphibia";"Eleutherodactylidae";"Eleutherodactylus";"Eleutherodactylus coqui";3,19957255753398;153,579482761631;16;36
"805";"Fungi";"Basidiomycota";"Ustilaginomycetes";"Tilletiaceae";"Tilletia";"Tilletia indica";3,1967480728883;153,443907498638;1;1
"1019";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicaceae";"Lepidium";"Lepidium draba";3,19225737676977;153,228354084949;4;4
"306";"Plantae";"Chlorophyta";"Ulvophyceae";"Caulerpaceae";"Caulerpa";"Caulerpa taxifolia";3,11673253853285;149,603161849577;9;23
"1057";"Plantae";"Tracheophyta";"Magnoliopsida";"Salicaceae";"Populus";"Diverse/Unspecified";3,10823550882566;149,195304423632;6;71
"7";"Animalia";"Chordata";"Mammalia";"Bovidae";"Capra";"Capra hircus";3,04698014148063;146,25504679107;36;60
"278";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Hydrocotyle";"Hydrocotyle ranunculoides";3,02050137878211;144,984066181541;34;38
"141";"Animalia";"Arthropoda";"Insecta";"Adelgidae";"Adelges";"Adelges tsugae";2,95556369843555;141,867057524906;8;18
"243";"Animalia";"Arthropoda";"Insecta";"Noctuidae";"Uraba";"Uraba lugens";2,92549525040345;140,423772019365;3;6
"1065";"Plantae";"Tracheophyta";"Magnoliopsida/Pinopsida";"Fabaceae/Proteaceae/Cactaceae/Pinaceae/Rosaceae/Salicaceae/Myrtaceae";"Pinus/Hakea/Eucalyptus/Acacia/Populus/Salix/Rubus/Opuntia";"Diverse/Unspecified";2,83048673364992;135,863363215196;2;2
"198";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Epiphyas";"Epiphyas postvittana";2,80284559084247;134,536588360439;1;1
"202";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Orgyia";"Orgyia thyellina";2,72780706762201;130,934739245856;5;8
"262";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Sternochetus";"Sternochetus frigidus";2,6872942752125;128,9901252102;1;20
"951";"Chromista";"Oomycota";"Oomycetes";"Peronosporaceae";"Phytophthora";"Phytophthora ramorum";2,67275197144643;128,292094629429;42;329
"906";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Hieracium";"Hieracium spp.";2,61187644371558;125,370069298348;6;6
"325";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Eucalyptus spp.";2,45585739694837;117,881155053522;4;41
"156";"Animalia";"Arthropoda";"Insecta";"Anthomyiidae";"Delia";"Delia spp.";2,44177516408639;117,205207876147;1;1
"773";"Animalia";"Arthropoda";"Insecta";"Phylloxeridae";"Daktulosphaira";"Daktulosphaira vitifoliae";2,42938133514866;116,610304087136;2;3
"781";"Fungi";"Oomycota";"Peronosporea";"Peronosporaceae";"Phytophthora";"Phytophthora fragariae";2,4222169034096;116,266411363661;1;2
"870";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Biofouling";2,37855551520948;114,170664730055;1;1
"1092";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Diverse/Unspecified";2,37258851691493;113,884248811916;1;2
"244";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Hyphantria";"Hyphantria cunea";2,37017447919181;113,768375001207;10;16
"827";"Animalia";"Arthropoda";"Insecta";"Delphacidae";"Nilaparvata";"Nilaparvata lugens";2,35841187801891;113,203770144908;1;1
"185";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Diaprepes";"Diaprepes sp.";2,29236416281749;110,033479815239;3;15
"825";"Animalia";"Chordata";"Mammalia";"Viverridae";"Paguma";"Paguma larvata";2,2830529840946;109,586543236541;18;35
"796";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Eragrostis";"Eragrostis plana";2,27984689653743;109,432651033797;1;11
"1126";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Ambrosia/Artemisia/Cyclachaena";"Ambrosia trifida/Artemisia annua/Cyclachaena xanthiifolia";2,26321046005837;108,634102082802;1;7
"804";"Viruses";"Negarnaviricota";"Ellioviricetes";"Peribunyaviridae";"Tospovirus";"Tomato spotted wilt virus";2,25016446416503;108,007894279921;1;1
"860";"Fungi";"Ascomycota";"Sordariomycetes";"Plectosphaerellaceae";"Verticillium";"Verticillium dahliae";2,13879780706181;102,662294738967;1;8
"323";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Cereus";"Cereus jamacaru";2,11615840087264;101,575603241887;6;67
"266";"Animalia";"Arthropoda";"Maxillopoda";"Balanidae";"Balanus";"Balanus improvisus";2,08583722898003;100,120186991041;2;2
"387";"Plantae";"Tracheophyta";"Magnoliopsida";"Amaranthaceae";"Alternanthera";"Alternanthera philoxeroides";2,06598356871782;99,1672112984554;9;11
"370";"Plantae";"Tracheophyta";"Liliopsida/Magnoliopsida";"Myrtaceae/Anacardiaceae/Rhamnaceae/Dioscoreaceae";"Melaleuca/Schinus/Colubrina/Dioscorea";"Schinus terebinthifolia/Colubrina asiatica/Dioscorea bulbifera";2,06092756105183;98,9245229304878;1;11
"919";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Spartina";"Spartina spp.";2,05657416461656;98,7155599015951;4;4
"1124";"Viruses";"Diverse/Unspecified";"Diverse/Unspecified";"Retroviridae";"Lentivirus";"Human immunodeficiency virus";2,00332651820806;96,159672873987;1;1
"780";"Viruses";NA;NA;"Potyviridae";"Potyvirus";"Plum  pox  potyvirus";1,95640596044622;93,9074861014184;1;2
"1081";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Leucospermum/Laucadendron/Protea";"Diverse/Unspecified";1,92760028511744;92,5248136856371;1;1
"157";"Animalia";"Arthropoda";"Insecta";"Calliphoridae";"Chrysomya";"Chrysomya bezziana";1,92439868215518;92,3711367434484;1;1
"335";"Plantae";"Tracheophyta";"Magnoliopsida";"Tamaricaceae/Elaeagnaceae";"Tamarix/Elaeagnus";"Tamarix spp./Elaeagnus angustifolia";1,89748209560451;91,0791405890166;1;1
"148";"Animalia";"Arthropoda";"Insecta";"Lauxaniidae";"Drosophila";"Drosophila suzukii";1,89110918255987;90,7732407628739;9;9
"650";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Ambrosia";"Ambrosia polystachya";1,88747924885974;90,5990039452676;121;204
"92";"Animalia";"Mollusca";"Gastropoda";"Arionidae";"Arion";"Arion vulgaris";1,88578120366073;90,5174977757151;2;2
"420";"Animalia";"Chordata";"Mammalia";"Procyonidae";"Procyon";"Procyon lotor";1,85912411767533;89,2379576484159;46;77
"854";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadaceae";"Xanthomonas";"Xanthomonas oryzae";1,85805954936672;89,1868583696023;1;1
"5";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus spp.";1,84519835834439;88,5695212005308;8;16
"158";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Rhagoletis";"Rhagoletis completa";1,82056135406836;87,3869449952812;3;3
"1077";"Animalia";"Nematoda";"Secernentea";"Heteroderidae";"Globodera";"Globodera pallida/Globodera rostochiensis";1,80931874592741;86,8472998045158;1;1
"1015";"Animalia";"Arthropoda";"Insecta";"Blattidae/Ectobiidae";"Blatta/Blatella";"Blatta orientalis/Blatella germanica";1,72088883501583;82,6026640807601;4;4
"1005";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea x moncktonii";1,70741666666667;81,956;8;8
"806";"Animalia";"Arthropoda";"Insecta";"Agromyzidae";"Liriomyza";"Liriomyza huidobrensis";1,68122414405441;80,6987589146117;2;2
"337";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Nassella";"Nassella trichotoma";1,67297440618541;80,3027714968997;7;11
"1076";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Lymantria";"Lymantria dispar asiatica/Lymantria dispar";1,62239583333333;77,875;2;2
"745";"Animalia";"Arthropoda";"Insecta";"Thripidae";"Frankliniella";"Frankliniella schultzei";1,61117462235789;77,3363818731789;1;1
"286";"Chromista";"Oomycota";"Peronosporea";"Leptolegniaceae";"Aphanomyces";"Aphanomyces astaci";1,55847676143368;74,8068845488166;2;7
"1125";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus/Mus";"Rattus norvegicus/Mus musculus";1,50549902011009;72,2639529652842;2;2
"395";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cenchrus";"Cenchrus ciliaris";1,50090010324783;72,0432049558959;2;4
"759";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadaceae";"Xanthomonas";"Xanthomonas oryzae pv. oryzae";1,49804799257025;71,9063036433718;1;2
"80";"Animalia";"Chordata";"Mammalia";"Herpestidae";"Herpestes";"Herpestes edwardsi";1,48276945009034;71,1729336043363;1;1
"939";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea/Rhaponticum";"Centaurea diffusa/Centaurea affinis/Rhaponticum repens";1,44895068255608;69,5496327626921;39;39
"612";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Anopheles";"Anopheles darlingi";1,27783078985821;61,3358779131939;1;1
"276";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Elodea";"Elodea canadensis";1,25442090938529;60,2122036504939;10;15
"832";"Animalia";"Arthropoda";"Insecta";"Brenthidae";"Cylas";"Cylas formicarius";1,25440554596587;60,2114662063618;1;19
"99";"Animalia";"Chordata";"Amphibia";"Bufonidae";"Rhinella";"Rhinella marina";1,24545990569489;59,7820754733546;43;194
"341";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Heracleum";"Heracleum mantegazzianum";1,23937046862191;59,4897824938515;32;43
"191";"Animalia";"Arthropoda";"Insecta";"Gracillariidae";"Cameraria";"Cameraria ohridella";1,19816119879533;57,511737542176;2;2
"1004";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Hieracium";"Diverse/Unspecified";1,16658766281178;55,9962078149656;4;4
"204";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Rastrococcus";"Rastrococcus invadens";1,15062391656006;55,2299479948828;7;17
"1080";"Animalia";"Arthropoda";"Malacostraca";"Portunidae";"Carcinus";"Carcinus maenas";1,14814766791227;55,1110880597889;1;1
"776";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Xylophilus";"Xylophilus ampelinus";1,12539923819954;54,0191634335778;1;2
"729";"Animalia";"Arthropoda";"Insecta";"Gelechiidae";"Keiferia";"Keiferia lycopersicella";1,12413242334666;53,9583563206398;1;1
"1095";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia dealbata/Acacia mearnsii";1,11569665986501;53,5534396735207;1;15
"645";"Chromista";"Ochrophyta";"Phaeophyceae";"Alariaceae";"Undaria";"Undaria pinnatfida";1,10824128729233;53,1955817900317;6;11
"721";"Plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Ludwigia sp./Egeria sp./Egeria sp./Myriophyllum sp./Reynoutria sp.";1,10019286415594;52,8092574794853;1;11
"807";"Fungi";"Ascomycota";"Sordariomycetes";"Ceratocystidaceae";"Ceratocystis";"Ceratocystis platani";1,09555548759307;52,5866634044675;1;1
"292";"Animalia";"Nematoda";"Secernentea";"Anguillicolidae";"Anguillicoloides";"Anguillicoloides crassus";1,07732725267352;51,7117081283287;1;1
"1009";"Plantae";"Tracheophyta";"Magnoliopsida";"Plantaginaceae";"Linaria";"Linaria dalmatica";1,07093636862445;51,4049456939738;4;4
"726";"Animalia";"Arthropoda";"Insecta";"Gracillariidae";"Phyllonorycter";"Phyllonorycter issikii";1,06888033430592;51,306256046684;1;1
"328";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Solanum";"Solanum mauritianum";1,05275545120445;50,5322616578136;7;82
"114";"Animalia";"Chordata";"Aves";"Anatidae";"Oxyura";"Oxyura jamaicensis";1,04983893405727;50,392268834749;17;56
"285";"Animalia";"Arthropoda";"Malacostraca";"Pseudothelphusidae";"Eriocheir";"Eriocheir sinensis";1,02375849425329;49,1404077241577;1;36
"989";"Plantae";"Tracheophyta";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";1,0163213693143;48,7834257270864;5;31
"308";"Animalia";"Mollusca";"Bivalvia";"Dreissenidae";"Dreissena";"Dreissena bugensis";0,966078551980757;46,3717704950763;2;2
"891";"Animalia";"Chordata";"Ascidiacea";"Styelidae";"Styela";"Styela clava";0,949471112542962;45,5746134020622;2;2
"32";"Animalia";"Chordata";"Mammalia";"Leporidae/Muridae";"Mus/Oryctolagus/Rattus";"Mus musculus/Oryctolagus cuniculus/Rattus rattus";0,940022480252071;45,1210790520994;2;8
"314";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Mikania";"Mikania micrantha";0,937903977977949;45,0193909429416;6;14
"1069";"Plantae";"Tracheophyta";"Liliopsida";"Pontederiaceae";"Eichhornia";"Eichhornia sp.";0,897484557214606;43,0792587463011;2;2
"801";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Fallopia";"Fallopia spp.";0,867089413317155;41,6202918392234;4;4
"1122";"Animalia";"Mollusca";"Gastropoda";"Arionidae";"Arion";"Arion lusitanicus";0,84974003985689;40,7875219131307;1;1
"62";"Animalia";"Chordata";"Mammalia";"Felidae/Muridae/Phalangeridae";"Felis/Rattus/Trichosurus";"Felis catus/Rattus rattus/Trichosurus vulpecula";0,831058023864095;39,8907851454766;1;1
"808";"Animalia";"Arthropoda";"Insecta";"Thripidae";"Thrips";"Thrips palmi";0,824231629384316;39,5631182104472;3;10
"1001";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea moncktonii";0,821691047915704;39,4411702999538;4;4
"754";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Callosobruchus";"Callosobruchus sp.";0,81610077207185;39,1728370594488;1;2
"614";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Anastrepha";"Anastrepha fraterculus";0,809945461798887;38,8773821663466;3;7
"96";"Animalia";"Nematoda";"Secernentea";"Heteroderidae";"Heterodera";"Heterodera avenae";0,728169457492084;34,95213395962;1;1
"27";"Animalia";"Chordata";"Mammalia";"Mustelidae/Phalangeridae";"Mustela/Trichosurus";"Mustela furo/Trichosurus vulpecula";0,719817849189914;34,5512567611159;2;11
"97";"Animalia";"Nematoda";"Secernentea";"Hoplolaimidae";"Pratylenchus";"Pratylenchus sp.";0,70848920188419;34,0074816904411;1;1
"775";"Bacteria";NA;"Mollicutes";"Acholeplasmataceae";NA;"Candidatus sp.";0,704306145760638;33,8066949965106;1;2
"235";"Animalia";"Arthropoda";"Insecta";"Pyralidae";"Elasmopalpus";"Elasmopalpus lignosella";0,70106898834098;33,651311440367;2;14
"864";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Eriosoma";"Eriosoma lanigerum";0,689003400345474;33,0721632165828;1;1
"374";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadaceae";"Xanthomonas";"Xanthomonas campestris pv. Citri";0,688827540621097;33,0637219498127;1;22
"371";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Melaleuca";"Melaleuca sp.";0,677914371154218;32,5398898154025;8;18
"376";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Solanum";"Solanum viarum";0,677217331653969;32,5064319193905;3;3
"777";"Viruses";"Picornavirales";NA;"Secoviridae";"Cheravirus";"Cherry  rasp  leaf  cheravirus";0,665178026551713;31,9285452744822;1;2
"1068";"Animalia";"Arthropoda";"Malacostraca";"Carcinidae";"Carcinus";"Carcinus maenas";0,651151799312863;31,2552863670174;1;1
"313";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Spartina";"Spartina sp.";0,642138838868874;30,8226642657059;3;24
"249";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Abies/Picea/Pseudotsuga/Tsuga";"Pseudotsuga menziesii";0,631869809764145;30,329750868679;1;28
"203";"Animalia";"Arthropoda";"Insecta";"Bostrichidae/Silvanidae";"Oryzaephilus/Rhyzopertha";"Oryzaephilus surinamensis/Rhyzopertha dominica";0,607811015845874;29,1749287606019;1;1
"75";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus/Dama/Muntiacus";"Cervus nippon/Dama dama/Muntiacus reevesi";0,606947010165701;29,1334564879536;3;3
"112";"Animalia";"Chordata";"Aves";"Ploceidae";"Ploceus";"Ploceus melanocephalus";0,589796880012836;28,3102502406161;1;1
"277";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Elodea";"Elodea nuttallii";0,578409821518175;27,7636714328724;6;6
"1087";"Viruses";"Orthornavirae";NA;"Orthornavirae";"Alphainfluenzavirus";"Avian influenza";0,57529001189029;27,6139205707339;1;1
"312";"Plantae";"Tracheophyta";"Liliopsida/Magnoliopsida";"Pontederiaceae/Haloragaceae";"Eichhornia/Myriophyllum";"Eichhornia crassipes/Myriophyllum sp.";0,553479029415934;26,5669934119648;1;1
"227";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Lobesia";"Lobesia botrana";0,548025618392994;26,3052296828637;1;1
"242";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Orgyia";"Orgyia leucostigma";0,522020462711537;25,0569822101538;2;7
"553";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniaceae";"Salvinia";"Salvinia molesta";0,518502630764348;24,8881262766887;24;159
"298";"Chromista";"Ochrophyta";"Raphidophyceae";"Chattonellaceae";"Chattonella";"Diverse/Unspecified";0,5148552892611;24,7130538845328;1;9
"739";"Animalia";"Arthropoda";"Insecta";"Noctuidae";"Helicoverpa";"Helicoverpa zea";0,507451152426396;24,357655316467;1;1
"888";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiaceae";"Candidatus";"Candidatus liberibacter";0,499958017455227;23,9979848378509;1;5
"343";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia cyclops";0,48599975119057;23,3279880571474;56;111
"252";"Animalia";"Arthropoda";"Insecta";"Crambidae";"Eoreuma";"Eoreuma loftini";0,477208201380959;22,905993666286;1;1
"880";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Brontispa";"Brontispa longissima";0,476551472971626;22,8744707026381;1;1
"72";"Animalia";"Chordata";"Mammalia";"Bovidae";"Hemitragus";"Hemitragus jemlahicus";0,475407211091011;22,8195461323685;2;2
"184";"Animalia";"Arthropoda";"Insecta";"Gryllotalpidae";"Neoscapteriscus";"Neoscapteriscus vicinus";0,472150169681757;22,6632081447244;1;1
"303";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Artemisia";"Artemisia vulgaris";0,465189233993933;22,3290832317088;2;2
"193";"Plantae";"Tracheophyta";"Insecta";"Aphididae";"Cinara";"Cupressus cupressivora";0,462236138432062;22,187334644739;1;1
"344";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia dealbata";0,456083493408343;21,8920076836005;3;30
"238";"Animalia";"Arthropoda";"Insecta";"Aleyrodidae";"Aleurocanthus";"Aleurocanthus woglumi";0,450940230577378;21,6451310677142;2;44
"378";"Animalia";"Ctenophora";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,445124035523441;21,3659537051252;2;2
"779";"Viruses";"Picornavirales";NA;"Secoviridae";"Nepovirus";"Peach  rosette  mosaic  nepovirus";0,435999042613728;20,927954045459;1;2
"349";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Hakea";"Hakea sericea";0,431926364780445;20,7324655094614;6;83
"896";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Pinus";"Diverse/Unspecified";0,405165761620097;19,4479565577646;9;164
"660";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia peploides";0,403909117218098;19,3876376264687;2;12
"684";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericaceae";"Rhododendron";"Rhododendron ponticum";0,402521957547968;19,3210539623025;11;15
"1037";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Hakea";"Diverse/Unspecified";0,396776630030677;19,0452782414725;4;41
"803";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Heracleum";"Quercus rubra";0,389250665421014;18,6840319402087;1;1
"400";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Hydrilla";"Hydrilla sp./Unspecified";0,388638070970179;18,6546274065686;1;1
"1082";"Plantae";"Tracheophyta";"Pinopsida/Diverse/Unspecified";"Pinaceae/Diverse/Unspecified";"Pinus/Diverse/Unspecified";"Diverse/Unspecified";0,381296872560509;18,3022498829045;2;18
